AVERAGE OF SUM OF FILES,
Highest key in range, result
221.9688,1590.537
332.9862,3753.865
AVERAGE OF INDIVIDUAL HIGHEST WITHIN RANGE
Key,Result
221.9978,2046.646,
Division of averaged first intensity over the other:,,,,,8.239372
Individual results,,,(optional),(optional)
File no., wavelength, intensity,Lowest key in range, result,...
File 1,221.9688,19.3184,222.0124,-56.6199,333.0268,39.7525,333.0673,2.88749,
File 2,222.0269,934.379,221.9978,354.939,333.0065,2945.64,333.0268,507.227,
File 3,221.9833,2700.81,221.9106,322.475,332.9862,7023.17,333.0471,2826.33,
File 4,221.9688,4818.79,222.0415,365.943,332.9862,2945.53,333.0673,427.442,
File 5,222.0269,1759.93,221.9252,255.254,332.9862,6228.13,333.0673,828.231,
